code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sh.600000,2010-04-30,2010-03-31,,,,0.092155,0.956462,22.968189
sh.600000,2010-08-30,2010-06-30,,,,0.084297,0.957296,23.416792
sh.600000,2010-10-29,2010-09-30,,,,0.244137,0.958589,24.147939
sh.600000,2011-03-30,2010-12-31,,,,0.330304,0.943744,17.775904
sh.600000,2011-04-28,2011-03-31,,,,0.347031,0.942993,17.541658
sh.600000,2011-08-16,2011-06-30,,,,0.361487,0.945569,18.371914
sh.600000,2011-10-29,2011-09-30,,,,0.257409,0.944472,18.009071
sh.600000,2012-03-16,2011-12-31,,,,0.225817,0.944298,17.952680
sh.600000,2012-04-28,2012-03-31,,,,0.236452,0.943755,17.779468
sh.600000,2012-08-15,2012-06-30,,,,0.237310,0.946024,18.526657
sh.600000,2012-10-31,2012-09-30,,,,0.247409,0.945391,18.311889
sh.600000,2013-03-14,2012-12-31,,,,0.169969,0.942888,17.509320
sh.600000,2013-04-27,2013-03-31,,,,0.216079,0.944518,18.023868
sh.600000,2013-08-14,2013-06-30,,,,0.141644,0.945501,18.349021
sh.600000,2013-10-31,2013-09-30,,,,0.143052,0.944796,18.114541
sh.600000,2014-03-20,2013-12-31,,,,0.170884,0.943690,17.758907
sh.600000,2014-04-30,2014-03-31,,,,0.093830,0.941281,17.030373
sh.600000,2014-08-14,2014-06-30,,,,0.130963,0.943688,17.758155
sh.600000,2014-10-31,2014-09-30,,,,0.096185,0.940733,16.872746
sh.600000,2015-03-19,2014-12-31,,,,0.132380,0.937252,15.936814
sh.600000,2015-04-30,2015-03-31,,,,0.126601,0.932150,14.738411
sh.600000,2015-08-20,2015-06-30,,,,0.163349,0.937226,15.930117
sh.600000,2015-10-30,2015-09-30,,,,0.214088,0.937043,15.883766
sh.600000,2016-04-07,2015-12-31,,,,0.201674,0.936840,15.832869
sh.600000,2016-04-30,2016-03-31,,,,0.230177,0.933368,15.007837
sh.600000,2016-08-11,2016-06-30,,,,0.163689,0.934788,15.334503
sh.600000,2016-10-29,2016-09-30,,,,0.150623,0.934474,15.261082
sh.600000,2017-04-01,2016-12-31,,,,0.160520,0.936330,15.705897
sh.600000,2017-04-27,2017-03-31,,,,0.128035,0.934585,15.287065
sh.600000,2017-08-30,2017-06-30,,,,0.100020,0.933703,15.083598
sh.600000,2017-10-28,2017-09-30,,,,0.084902,0.930292,14.345486
sh.600000,2018-04-28,2017-12-31,,,,0.040465,0.929775,14.240032
sh.600000,2018-04-28,2018-03-31,,,,0.035206,0.929103,14.104898
sh.600000,2018-08-30,2018-06-30,,,,0.021929,0.926553,13.615334
sh.600000,2018-10-31,2018-09-30,,,,-0.002479,0.924122,13.179093
sh.600000,2019-03-26,2018-12-31,,,,0.018396,0.923941,13.147719
sh.600000,2019-04-30,2019-03-31,,,,0.062444,0.924334,13.215981
sh.600000,2019-08-24,2019-06-30,,,,0.091401,0.924973,13.328613
sh.600000,2019-10-30,2019-09-30,,,,0.109532,0.919424,12.410689
sh.600000,2020-04-25,2019-12-31,,,,0.109039,0.919918,12.487152
sh.600000,2020-04-25,2020-03-31,,,,0.109644,0.920170,12.526575
sh.600000,2020-08-29,2020-06-30,,,,0.128029,0.923924,13.144756
sh.600000,2020-10-31,2020-09-30,,,,0.136240,0.924378,13.223721
sh.600000,2021-03-27,2020-12-31,,,,0.133365,0.918767,12.310326
sh.600000,2021-04-30,2021-03-31,,,,0.102080,0.917756,12.158886
sh.600000,2021-08-28,2021-06-30,,,,0.073930,0.918694,12.299167
sh.600000,2021-10-30,2021-09-30,,,,0.042238,0.916841,12.025211
sh.600000,2022-04-28,2021-12-31,,,,0.021102,0.916648,11.997259
sh.600000,2022-04-28,2022-03-31,,,,0.043734,0.917399,12.106345
sh.600000,2022-08-27,2022-06-30,,,,0.046824,0.918426,12.258792
sh.600000,2022-10-29,2022-09-30,,,,0.044735,0.916819,12.022024
sh.600000,2023-04-19,2022-12-31,,,,0.072311,0.918805,12.316014
sh.600000,2023-04-29,2023-03-31,,,,0.053495,0.918561,12.279099
sh.600000,2023-08-31,2023-06-30,,,,0.051119,0.919275,12.387695
sh.600000,2023-10-28,2023-09-30,,,,0.046603,0.917826,12.169281
sh.600000,2024-04-30,2023-12-31,,,,0.034570,0.918634,12.290140
sh.600000,2024-04-30,2024-03-31,,,,0.019831,0.917011,12.049730
sh.600000,2024-08-20,2024-06-30,,,,0.035144,0.009185,12.276888
sh.600000,2024-10-31,2024-09-30,,,,0.074343,0.009224,12.881699
sh.600004,2010-04-27,2010-03-31,0.534265,0.528608,0.286759,0.559843,0.427287,1.746076
sh.600004,2010-08-27,2010-06-30,0.454571,0.448056,0.180927,0.253664,0.403053,1.675190
sh.600004,2010-10-27,2010-09-30,0.488638,0.480819,0.264226,0.319847,0.374740,1.599334
sh.600004,2011-03-12,2010-12-31,0.477774,0.470144,0.226038,-0.065340,0.401164,1.669907
sh.600004,2011-04-28,2011-03-31,0.528972,0.519419,0.197394,-0.116894,0.383921,1.623167
sh.600004,2011-08-25,2011-06-30,0.539614,0.529038,0.269279,0.046666,0.401096,1.669716
sh.600004,2011-10-28,2011-09-30,0.660609,0.651883,0.412133,0.318139,0.429585,1.753110
sh.600004,2012-03-15,2011-12-31,0.555039,0.541679,0.267551,-0.216038,0.333742,1.500921
sh.600004,2012-04-28,2012-03-31,0.619304,0.603463,0.211737,-0.258075,0.305671,1.440240
sh.600004,2012-08-29,2012-06-30,0.650581,0.636145,0.352215,-0.200965,0.336948,1.508178
sh.600004,2012-10-30,2012-09-30,0.708238,0.692193,0.300675,-0.404237,0.297628,1.423747
sh.600004,2013-04-25,2012-12-31,0.801635,0.779311,0.475054,-0.247613,0.263360,1.357516
sh.600004,2013-04-25,2013-03-31,0.964189,0.941029,0.489153,-0.177368,0.254716,1.341770
sh.600004,2013-08-30,2013-06-30,0.965559,0.945533,0.634023,-0.157420,0.286262,1.401074
sh.600004,2013-10-30,2013-09-30,1.123415,1.092464,0.605180,-0.284068,0.220842,1.283437
sh.600004,2014-04-04,2013-12-31,1.431135,1.400649,1.006091,-0.280075,0.193307,1.239629
sh.600004,2014-04-30,2014-03-31,1.650346,1.620122,1.037475,-0.257312,0.191063,1.236190
sh.600004,2014-08-29,2014-06-30,1.525441,1.498806,1.140273,-0.206021,0.228109,1.295519
sh.600004,2014-10-30,2014-09-30,1.780551,1.748070,1.245028,-0.038055,0.201903,1.252980
sh.600004,2015-03-31,2014-12-31,1.993176,1.960941,1.556905,0.152835,0.200229,1.250357
sh.600004,2015-04-30,2015-03-31,2.120043,2.089462,1.527543,0.220675,0.206614,1.260420
sh.600004,2015-08-18,2015-06-30,1.319335,1.290586,0.937299,0.090407,0.222818,1.286699
sh.600004,2015-10-31,2015-09-30,1.344915,1.311857,0.839442,0.077099,0.195305,1.242707
sh.600004,2016-04-29,2015-12-31,0.934297,0.903331,0.563895,0.150998,0.207073,1.261150
sh.600004,2016-04-29,2016-03-31,1.648098,1.618043,1.130897,1.363147,0.349836,1.538073
sh.600004,2016-08-31,2016-06-30,1.369043,1.345763,1.045108,1.350359,0.371772,1.591779
sh.600004,2016-10-29,2016-09-30,1.242780,1.219499,0.833195,1.685838,0.362776,1.569306
sh.600004,2017-04-29,2016-12-31,0.802747,0.775239,0.379588,1.400255,0.387128,1.631661
sh.600004,2017-04-29,2017-03-31,0.729474,0.703114,0.208958,0.283346,0.389311,1.637496
sh.600004,2017-08-31,2017-06-30,0.600619,0.582856,0.329989,-0.176953,0.262329,1.355618
sh.600004,2017-10-31,2017-09-30,0.541531,0.525211,0.229456,-0.107591,0.271948,1.373528
sh.600004,2018-04-21,2017-12-31,0.764157,0.749450,0.527136,0.080181,0.329481,1.491381
sh.600004,2018-04-21,2018-03-31,0.756476,0.742313,0.476129,0.094087,0.337630,1.509731
sh.600004,2018-08-18,2018-06-30,0.464272,0.456274,0.298119,1.406569,0.436316,1.774044
sh.600004,2018-10-31,2018-09-30,0.680412,0.669845,0.492520,1.207118,0.433473,1.765141
sh.600004,2019-04-30,2018-12-31,0.387738,0.381460,0.233683,0.526015,0.418351,1.719250
sh.600004,2019-04-30,2019-03-31,0.310393,0.299860,0.112327,0.201516,0.373116,1.595191
sh.600004,2019-08-31,2019-06-30,0.395626,0.386609,0.194382,-0.195478,0.377939,1.607559
sh.600004,2019-10-29,2019-09-30,0.415020,0.407712,0.224931,-0.180845,0.382470,1.619356
sh.600004,2020-04-28,2019-12-31,0.359635,0.350258,0.174924,-0.245889,0.341445,1.518476
sh.600004,2020-04-28,2020-03-31,0.376225,0.370041,0.209465,-0.017888,0.358340,1.558457
sh.600004,2020-08-29,2020-06-30,0.358460,0.350464,0.163768,-0.091897,0.349380,1.536995
sh.600004,2020-10-31,2020-09-30,0.458213,0.446329,0.198940,-0.029473,0.372325,1.593181
sh.600004,2021-04-30,2020-12-31,0.629012,0.618955,0.373900,-0.242258,0.259900,1.351168
sh.600004,2021-04-30,2021-03-31,0.605205,0.594337,0.325503,0.033801,0.338413,1.511517
sh.600004,2021-08-31,2021-06-30,0.590251,0.581655,0.324933,0.081463,0.342563,1.521058
sh.600004,2021-10-30,2021-09-30,0.607172,0.594379,0.309552,-0.025990,0.336326,1.506764
sh.600004,2022-04-09,2021-12-31,0.554473,0.543254,0.259414,0.308583,0.324707,1.480838
sh.600004,2022-04-30,2022-03-31,0.577464,0.562982,0.236294,-0.097250,0.320294,1.471225
sh.600004,2022-08-31,2022-06-30,0.707890,0.690758,0.377793,-0.005147,0.347396,1.532324
sh.600004,2022-10-29,2022-09-30,0.728355,0.713343,0.407207,0.021167,0.348285,1.534414
sh.600004,2023-04-19,2022-12-31,0.503806,0.495068,0.322005,0.065756,0.353820,1.547556
sh.600004,2023-04-19,2023-03-31,0.554937,0.545808,0.334666,0.085637,0.351828,1.542800
sh.600004,2023-08-31,2023-06-30,0.574859,0.561000,0.302214,-0.086078,0.333255,1.499823
sh.600004,2023-10-31,2023-09-30,0.653139,0.641155,0.390806,-0.051661,0.339215,1.513351
sh.600004,2024-04-27,2023-12-31,0.681887,0.671892,0.428106,-0.120485,0.320110,1.470827
sh.600004,2024-04-27,2024-03-31,0.754341,0.740715,0.500827,-0.091838,0.323569,1.478346
sh.600004,2024-08-31,2024-06-30,0.846039,0.830192,0.614342,0.009551,0.003291,1.490479
sh.600004,2024-10-31,2024-09-30,0.947253,0.927993,0.708458,-0.045642,0.003211,1.473053
sh.600005,2010-04-27,2010-03-31,0.361138,0.122724,0.073453,0.069862,0.626083,2.674392
sh.600005,2010-08-23,2010-06-30,0.373377,0.096058,0.033844,0.034446,0.626080,2.674367
sh.600005,2010-10-29,2010-09-30,0.405204,0.110319,0.035423,-0.016185,0.624800,2.665247
sh.600005,2011-04-25,2010-12-31,0.432189,0.134978,0.057345,0.044697,0.629377,2.698160
sh.600005,2011-04-25,2011-03-31,0.470332,0.183442,0.033936,0.037924,0.624455,2.662793
sh.600005,2011-08-23,2011-06-30,0.434031,0.152821,0.027901,0.244021,0.604367,2.527593
sh.600005,2011-10-25,2011-09-30,0.429409,0.161076,0.017523,0.221886,0.598541,2.490914
sh.600005,2012-04-24,2011-12-31,0.432053,0.140361,0.031347,-0.008276,0.613008,2.584031
sh.600005,2012-04-24,2012-03-31,0.554483,0.226762,0.043831,0.350773,0.635401,2.742740
sh.600005,2012-08-27,2012-06-30,0.542947,0.229151,0.034736,0.131967,0.638223,2.764131
sh.600005,2012-10-29,2012-09-30,0.575722,0.260664,0.034541,0.196048,0.646403,2.828079
sh.600005,2013-04-27,2012-12-31,0.488747,0.252992,0.030259,0.051956,0.627699,2.685996
sh.600005,2013-04-27,2013-03-31,0.476545,0.242917,0.027009,-0.083922,0.616308,2.606256
sh.600005,2013-08-27,2013-06-30,0.494000,0.256741,0.031466,-0.076757,0.617755,2.616122
sh.600005,2013-10-29,2013-09-30,0.500993,0.251325,0.034604,-0.127856,0.612844,2.582939
sh.600005,2014-04-29,2013-12-31,0.469157,0.227081,0.039545,-0.071375,0.607839,2.549970
sh.600005,2014-04-29,2014-03-31,0.504247,0.265507,0.028513,-0.004992,0.612902,2.583326
sh.600005,2014-08-30,2014-06-30,0.457246,0.250089,0.023980,0.006894,0.617422,2.613846
sh.600005,2014-10-31,2014-09-30,0.487787,0.282662,0.030105,0.046937,0.620912,2.637911
sh.600005,2015-04-27,2014-12-31,0.636504,0.431548,0.054050,-0.207249,0.619219,2.626184
sh.600005,2015-04-27,2015-03-31,0.683070,0.483935,0.047255,0.050483,0.627126,2.681874
sh.600005,2015-08-29,2015-06-30,0.692890,0.484502,0.040818,0.023923,0.629166,2.696627
sh.600005,2015-10-31,2015-09-30,0.770961,0.543184,0.079701,0.055451,0.650489,2.861144
sh.600005,2016-04-26,2015-12-31,0.698114,0.488781,0.084629,0.107213,0.697277,3.303353
sh.600005,2016-04-26,2016-03-31,0.733119,0.505101,0.069904,0.097790,0.704351,3.382394
sh.600005,2016-08-30,2016-06-30,0.710505,0.478606,0.100294,0.105654,0.702417,3.360407
sh.600005,2016-10-31,2016-09-30,0.725244,0.492043,0.135398,0.035311,0.699073,3.323065
sh.600006,2010-04-24,2010-03-31,1.223015,0.938609,0.524208,0.664647,0.575947,2.358193
sh.600006,2010-08-20,2010-06-30,1.193690,0.931893,0.529593,0.465703,0.594772,2.467745
sh.600006,2010-10-23,2010-09-30,1.166301,0.899645,0.456056,0.348866,0.601454,2.509121
sh.600006,2011-03-26,2010-12-31,1.130275,0.891147,0.353802,0.409418,0.614050,2.591007
sh.600006,2011-04-23,2011-03-31,1.107846,0.874801,0.318598,0.297194,0.622034,2.645738
sh.600006,2011-08-26,2011-06-30,1.135083,0.902954,0.371442,0.171468,0.623581,2.656613
sh.600006,2011-10-31,2011-09-30,1.111611,0.873871,0.305603,0.152466,0.630162,2.703886
sh.600006,2012-03-27,2011-12-31,1.108182,0.886240,0.306548,0.032449,0.614883,2.596612
sh.600006,2012-04-24,2012-03-31,1.097477,0.846680,0.234586,-0.029213,0.611710,2.575398
sh.600006,2012-08-22,2012-06-30,1.109086,0.837334,0.215449,-0.064984,0.599352,2.495958
sh.600006,2012-10-31,2012-09-30,1.089093,0.822447,0.237874,-0.132409,0.592825,2.455946
sh.600006,2013-03-26,2012-12-31,1.191588,0.935080,0.417536,-0.070874,0.596065,2.475647
sh.600006,2013-04-27,2013-03-31,1.163450,0.905487,0.293460,-0.041602,0.605193,2.532885
sh.600006,2013-08-31,2013-06-30,1.183617,0.979409,0.276543,0.064950,0.615416,2.600212
sh.600006,2013-10-29,2013-09-30,1.173884,0.984799,0.264998,0.140189,0.621789,2.644027
sh.600006,2014-03-28,2013-12-31,1.251059,1.090277,0.392659,0.121474,0.615854,2.603180
sh.600006,2014-04-29,2014-03-31,1.247150,1.035861,0.313968,0.078915,0.612660,2.581710
sh.600006,2014-08-29,2014-06-30,1.303553,1.075770,0.450206,-0.009324,0.603298,2.520785
sh.600006,2014-10-25,2014-09-30,1.290307,1.083632,0.409565,-0.021699,0.605433,2.534427
sh.600006,2015-03-27,2014-12-31,1.184482,1.027434,0.365983,-0.073056,0.592964,2.456784
sh.600006,2015-04-30,2015-03-31,1.186845,0.974207,0.356071,-0.071341,0.588533,2.430331
sh.600006,2015-08-29,2015-06-30,1.208238,0.976882,0.355726,0.023816,0.603503,2.522089
sh.600006,2015-10-31,2015-09-30,1.205083,1.024491,0.362887,-0.001722,0.598393,2.489995
sh.600006,2016-04-23,2015-12-31,1.229487,1.092213,0.353810,0.046811,0.596814,2.480247
sh.600006,2016-04-30,2016-03-31,1.235402,1.070772,0.261559,0.022328,0.587069,2.421710
sh.600006,2016-08-30,2016-06-30,1.231208,1.061119,0.328031,-0.041886,0.592909,2.456454
sh.600006,2016-10-29,2016-09-30,1.158686,0.999522,0.247170,-0.000186,0.620293,2.633610
sh.600006,2017-04-15,2016-12-31,1.129882,0.985462,0.270116,0.168121,0.655442,2.902266
sh.600006,2017-04-29,2017-03-31,1.126001,0.924555,0.306344,0.161566,0.648124,2.841907
sh.600006,2017-08-30,2017-06-30,1.118078,0.878254,0.185915,0.227776,0.663671,2.973283
sh.600006,2017-10-31,2017-09-30,1.102812,0.892942,0.157703,0.282600,0.686210,3.186848
sh.600006,2018-03-31,2017-12-31,1.340772,1.181599,0.328854,-0.236342,0.605115,2.532382
sh.600006,2018-04-28,2018-03-31,1.351530,1.158733,0.176707,-0.253115,0.587101,2.421897
sh.600006,2018-08-28,2018-06-30,1.358221,1.160392,0.213795,-0.327158,0.573242,2.343248
sh.600006,2018-10-30,2018-09-30,1.349117,1.176377,0.188136,-0.370291,0.573164,2.342820
sh.600006,2019-03-30,2018-12-31,1.322250,1.165050,0.218979,0.130509,0.619902,2.630901
sh.600006,2019-04-27,2019-03-31,1.337155,1.177608,0.263962,0.149320,0.607085,2.545081
sh.600006,2019-08-28,2019-06-30,1.355661,1.202243,0.180868,0.213708,0.611007,2.570742
sh.600006,2019-10-29,2019-09-30,1.376669,1.219600,0.148090,0.118636,0.591898,2.450365
