code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2010-04-30,2010-03-31,0.604597,0.107600,0.386553,0.243316,0.386955
sh.600000,2010-08-30,2010-06-30,0.621123,0.099895,0.339343,0.202128,0.339207
sh.600000,2010-10-29,2010-09-30,0.254743,0.244639,0.442596,0.294294,0.441896
sh.600000,2011-03-30,2010-12-31,0.810020,0.350457,0.451259,0.280000,0.450996
sh.600000,2011-04-28,2011-03-31,0.787413,0.366271,0.479710,0.178771,0.475576
sh.600000,2011-08-16,2011-06-30,0.755719,0.378372,0.421477,0.131148,0.418333
sh.600000,2011-10-29,2011-09-30,0.710353,0.276203,0.345180,0.073441,0.341888
sh.600000,2012-03-16,2011-12-31,0.210534,0.225098,0.426336,0.186992,0.422834
sh.600000,2012-04-28,2012-03-31,0.216862,0.235453,0.305907,0.301538,0.302899
sh.600000,2012-08-15,2012-06-30,0.216186,0.236715,0.337323,0.333333,0.334908
sh.600000,2012-10-31,2012-09-30,0.215862,0.246198,0.313985,0.313027,0.312200
sh.600000,2013-03-14,2012-12-31,0.192135,0.171719,0.254286,0.253425,0.252877
sh.600000,2013-04-27,2013-03-31,0.189692,0.215097,0.128467,0.127660,0.127819
sh.600000,2013-08-14,2013-06-30,0.152278,0.142275,0.129503,0.130435,0.127552
sh.600000,2013-10-31,2013-09-30,0.153423,0.143772,0.143521,0.141328,0.141315
sh.600000,2014-03-20,2013-12-31,0.151428,0.169888,0.200781,0.196721,0.197040
sh.600000,2014-04-30,2014-03-31,0.159761,0.097591,0.207463,0.203354,0.202965
sh.600000,2014-08-14,2014-06-30,0.169295,0.133136,0.172546,0.169394,0.168678
sh.600000,2014-10-31,2014-09-30,0.181920,0.100920,0.171999,0.166979,0.167047
sh.600000,2015-03-19,2014-12-31,0.272998,0.140158,0.149515,0.149043,0.149162
sh.600000,2015-04-30,2015-03-31,0.317468,0.137637,0.046355,0.045296,0.045191
sh.600000,2015-08-20,2015-06-30,0.308659,0.171370,0.055058,0.054321,0.055041
sh.600000,2015-10-30,2015-09-30,0.297961,0.218869,0.065630,0.067524,0.067904
sh.600000,2016-04-07,2015-12-31,0.211405,0.202203,0.076795,0.057120,0.076086
sh.600000,2016-04-30,2016-03-31,0.203598,0.228571,0.241047,0.160000,0.243702
sh.600000,2016-08-11,2016-06-30,0.209124,0.166724,0.120783,0.054936,0.119943
sh.600000,2016-10-29,2016-09-30,0.198311,0.153786,0.097745,0.034235,0.094720
sh.600000,2017-04-01,2016-12-31,0.167456,0.161153,0.052572,-0.007432,0.049304
sh.600000,2017-04-27,2017-03-31,0.106050,0.126566,0.043605,0.000000,0.038788
sh.600000,2017-08-30,2017-06-30,0.120243,0.101298,0.054808,0.021053,0.052111
sh.600000,2017-10-28,2017-09-30,0.159937,0.089779,0.030580,0.006944,0.029743
sh.600000,2018-04-28,2017-12-31,0.156156,0.047800,0.024666,-0.005405,0.021827
sh.600000,2018-04-28,2018-03-31,0.126714,0.041315,-0.012835,-0.061224,-0.010856
sh.600000,2018-08-30,2018-06-30,0.139222,0.029814,0.013253,-0.020619,0.014344
sh.600000,2018-10-31,2018-09-30,0.091073,0.004181,0.029908,-0.006897,0.031390
sh.600000,2019-03-26,2018-12-31,0.108504,0.024826,0.027508,0.005435,0.030521
