code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sh.600000,2010-04-30,2010-03-31,,,,,,0.006531
sh.600000,2010-08-30,2010-06-30,,,,,,0.013368
sh.600000,2010-10-29,2010-09-30,,,,,,0.019949
sh.600000,2011-03-30,2010-12-31,,,,,,0.026143
sh.600000,2011-04-28,2011-03-31,,,,,,0.006812
sh.600000,2011-08-16,2011-06-30,,,,,,0.013715
sh.600000,2011-10-29,2011-09-30,,,,,,0.020925
sh.600000,2012-03-16,2011-12-31,,,,,,0.027857
sh.600000,2012-04-28,2012-03-31,,,,,,0.007254
sh.600000,2012-08-15,2012-06-30,,,,,,0.013984
sh.600000,2012-10-31,2012-09-30,,,,,,0.020879
sh.600000,2013-03-14,2012-12-31,,,,,,0.028455
sh.600000,2013-04-27,2013-03-31,,,,,,0.006717
sh.600000,2013-08-14,2013-06-30,,,,,,0.014066
sh.600000,2013-10-31,2013-09-30,,,,,,0.021508
sh.600000,2014-03-20,2013-12-31,,,,,,0.029305
sh.600000,2014-04-30,2014-03-31,,,,,,0.007439
sh.600000,2014-08-14,2014-06-30,,,,,,0.015517
sh.600000,2014-10-31,2014-09-30,,,,,,0.023511
sh.600000,2015-03-19,2014-12-31,,,,,,0.031280
sh.600000,2015-04-30,2015-03-31,,,,,,0.007807
sh.600000,2015-08-20,2015-06-30,,,,,,0.016069
sh.600000,2015-10-30,2015-09-30,,,,,,0.024091
sh.600000,2016-04-07,2015-12-31,,,,,,0.031720
sh.600000,2016-04-30,2016-03-31,,,,,,0.008214
sh.600000,2016-08-11,2016-06-30,,,,,,0.015779
sh.600000,2016-10-29,2016-09-30,,,,,,0.022798
sh.600000,2017-04-01,2016-12-31,,,,,,0.029499
sh.600000,2017-04-27,2017-03-31,,,,,,0.007212
sh.600000,2017-08-30,2017-06-30,,,,,,0.014161
sh.600000,2017-10-28,2017-09-30,,,,,,0.020932
sh.600000,2018-04-28,2017-12-31,,,,,,0.028116
sh.600000,2018-04-28,2018-03-31,,,,,,0.006459
sh.600000,2018-08-30,2018-06-30,,,,,,0.013453
sh.600000,2018-10-31,2018-09-30,,,,,,0.020792
sh.600000,2019-03-26,2018-12-31,,,,,,
sh.600000,2019-04-30,2019-03-31,,,,,,
sh.600000,2019-08-24,2019-06-30,,,,,,
sh.600000,2019-10-30,2019-09-30,,,,,,
sh.600000,2020-04-25,2019-12-31,,,,,,
sh.600000,2020-04-25,2020-03-31,,,,,,
sh.600000,2020-08-29,2020-06-30,,,,,,
sh.600000,2020-10-31,2020-09-30,,,,,,
sh.600000,2021-03-27,2020-12-31,,,,,,
sh.600000,2021-04-30,2021-03-31,,,,,,0.006184
sh.600000,2021-08-28,2021-06-30,,,,,,0.012115
sh.600000,2021-10-30,2021-09-30,,,,,,0.017919
sh.600000,2022-04-28,2021-12-31,,,,,,0.023744
sh.600000,2022-04-28,2022-03-31,,,,,,0.006039
sh.600000,2022-08-27,2022-06-30,,,,,,0.011854
sh.600000,2022-10-29,2022-09-30,,,,,,0.017350
sh.600000,2023-04-19,2022-12-31,,,,,,0.022400
sh.600000,2023-04-29,2023-03-31,,,,,,0.005474
sh.600000,2023-08-31,2023-06-30,,,,,,0.010345
sh.600000,2023-10-28,2023-09-30,,,,,,0.015168
sh.600000,2024-04-30,2023-12-31,,,,,,0.019584
sh.600000,2024-04-30,2024-03-31,,,,,,0.005020
sh.600000,2024-08-20,2024-06-30,,,,,,0.009665
sh.600000,2024-10-31,2024-09-30,,,,,,0.014095
sh.600004,2010-04-27,2010-03-31,0.866867,103.822118,19.214862,4.683874,0.366425,0.076458
sh.600004,2010-08-27,2010-06-30,1.793544,100.359957,40.935294,4.397184,0.866901,0.161787
sh.600004,2010-10-27,2010-09-30,3.285559,82.177801,60.839977,4.437871,1.368592,0.251946
sh.600004,2011-03-12,2010-12-31,4.412720,81.582340,84.863979,4.242083,1.839973,0.343265
sh.600004,2011-04-28,2011-03-31,1.074164,83.786085,17.047427,5.279389,0.482584,0.087558
sh.600004,2011-08-25,2011-06-30,2.441255,73.732562,33.119141,5.434924,0.956861,0.180068
sh.600004,2011-10-28,2011-09-30,3.589692,75.215365,51.762116,5.216170,1.195892,0.266046
sh.600004,2012-03-15,2011-12-31,5.633155,63.907353,70.820722,5.083258,2.240203,0.386626
sh.600004,2012-04-28,2012-03-31,1.360831,66.136076,15.745522,5.715911,0.620812,0.105293
sh.600004,2012-08-29,2012-06-30,3.185846,56.499905,31.806109,5.659290,1.162985,0.214683
sh.600004,2012-10-30,2012-09-30,4.382170,61.613315,49.355601,5.470504,1.837069,0.329440
sh.600004,2013-04-25,2012-12-31,7.043548,51.110602,58.317162,6.173140,2.488055,0.449708
sh.600004,2013-04-25,2013-03-31,1.511489,59.543945,13.661863,6.587681,0.551597,0.115605
sh.600004,2013-08-30,2013-06-30,3.591716,50.115317,28.623239,6.288596,1.049451,0.237388
sh.600004,2013-10-30,2013-09-30,5.210038,51.823039,42.776013,6.311949,1.800135,0.376914
sh.600004,2014-04-04,2013-12-31,8.529035,42.208762,60.722436,5.928616,2.316444,0.511725
sh.600004,2014-04-30,2014-03-31,1.730265,52.015146,15.518972,5.799353,0.477283,0.127596
sh.600004,2014-08-29,2014-06-30,4.300625,41.854379,31.109968,5.785927,0.912788,0.261446
sh.600004,2014-10-30,2014-09-30,5.724278,47.167520,46.165619,5.848508,1.372969,0.398558
sh.600004,2015-03-31,2014-12-31,8.944107,40.249965,57.702901,6.238854,1.704530,0.525854
sh.600004,2015-04-30,2015-03-31,1.625785,55.357872,12.710616,7.080696,0.321065,0.122777
sh.600004,2015-08-18,2015-06-30,4.120146,43.687769,24.776891,7.264834,0.768935,0.242637
sh.600004,2015-10-31,2015-09-30,5.628592,47.969367,37.382260,7.222677,1.225043,0.368239
sh.600004,2016-04-29,2015-12-31,8.995744,40.018926,48.706969,7.391139,1.805837,0.480347
sh.600004,2016-04-29,2016-03-31,1.886403,47.709848,11.913595,7.554395,0.466861,0.101382
sh.600004,2016-08-31,2016-06-30,4.872307,36.943483,25.598898,7.031553,0.956245,0.206305
sh.600004,2016-10-29,2016-09-30,6.237537,43.286314,38.906494,6.939715,1.552125,0.309857
sh.600004,2017-04-29,2016-12-31,9.038945,39.827656,51.325826,7.014013,2.863322,0.410179
sh.600004,2017-04-29,2017-03-31,1.648905,54.581669,12.784088,7.040002,0.734401,0.087135
sh.600004,2017-08-31,2017-06-30,4.172413,43.140507,27.279548,6.598350,1.431296,0.173163
sh.600004,2017-10-31,2017-09-30,5.685385,47.490192,41.928229,6.439576,2.202847,0.259448
sh.600004,2018-04-21,2017-12-31,8.483120,42.437216,53.264273,6.758752,2.178846,0.335869
sh.600004,2018-04-21,2018-03-31,1.590521,56.585239,12.781111,7.041641,0.402245,0.074956
sh.600004,2018-08-18,2018-06-30,3.404310,52.874153,31.463525,5.720910,0.842443,0.147200
sh.600004,2018-10-31,2018-09-30,6.444658,41.895164,53.897862,5.009475,1.300878,0.230063
sh.600004,2019-04-30,2018-12-31,7.465461,48.222073,77.474782,4.646673,1.960836,0.312469
sh.600004,2019-04-30,2019-03-31,1.468839,61.272875,20.755941,4.336108,0.612265,0.072943
sh.600004,2019-08-31,2019-06-30,3.041657,59.178270,44.189059,4.073407,1.091416,0.145368
sh.600004,2019-10-29,2019-09-30,4.734244,57.031275,75.005111,3.599755,1.603186,0.220135
sh.600004,2020-04-28,2019-12-31,7.332552,49.096137,93.808176,3.837619,2.490585,0.302271
sh.600004,2020-04-28,2020-03-31,1.535853,58.599347,21.821592,4.124355,0.477978,0.051428
sh.600004,2020-08-29,2020-06-30,2.314895,77.757291,38.986563,4.616975,0.894502,0.093055
sh.600004,2020-10-31,2020-09-30,3.133402,86.168312,50.075102,5.391901,1.269156,0.147906
sh.600004,2021-04-30,2020-12-31,5.028929,71.585818,82.238959,4.377487,1.622021,0.203668
sh.600004,2021-04-30,2021-03-31,0.971988,92.593746,18.498254,4.865324,0.303761,0.043209
sh.600004,2021-08-31,2021-06-30,2.096006,85.877622,44.466352,4.048005,0.622181,0.087897
sh.600004,2021-10-30,2021-09-30,2.976398,90.713678,54.297426,4.972611,0.951197,0.133985
sh.600004,2022-04-09,2021-12-31,4.321479,83.304819,80.068363,4.496158,1.424307,0.192419
sh.600004,2022-04-30,2022-03-31,0.918646,97.970310,15.899435,5.660578,0.367044,0.045219
sh.600004,2022-08-31,2022-06-30,1.537428,117.078642,29.685333,6.063601,0.548820,0.073610
sh.600004,2022-10-29,2022-09-30,2.405573,112.239352,47.956626,5.630088,0.884916,0.120206
sh.600004,2023-04-19,2022-12-31,3.652455,98.563830,73.098752,4.924841,1.159897,0.145761
sh.600004,2023-04-19,2023-03-31,1.340184,67.154979,16.675423,5.397172,0.374069,0.050460
sh.600004,2023-08-31,2023-06-30,2.692488,66.852667,30.031898,5.993627,0.836604,0.108446
sh.600004,2023-10-31,2023-09-30,4.199234,64.297434,50.116627,5.387436,1.218936,0.171577
sh.600004,2024-04-27,2023-12-31,6.416391,56.106309,76.756471,4.690157,1.712469,0.242077
sh.600004,2024-04-27,2024-03-31,1.474508,61.037318,15.645344,5.752526,0.377451,0.063015
sh.600004,2024-08-31,2024-06-30,3.165447,56.864013,29.163264,6.172141,0.730691,0.130219
sh.600004,2024-10-31,2024-09-30,4.908506,55.006559,40.276722,6.703628,1.068523,0.199372
sh.600005,2010-04-27,2010-03-31,41.176775,2.185698,1.953118,46.080169,1.353585,0.227156
sh.600005,2010-08-23,2010-06-30,82.983158,2.169115,3.810621,47.236392,2.859155,0.488990
sh.600005,2010-10-29,2010-09-30,128.920181,2.094319,5.608700,48.139496,4.136218,0.738006
sh.600005,2011-04-25,2010-12-31,253.214737,1.421718,7.349494,48.982966,5.247006,1.010454
sh.600005,2011-04-25,2011-03-31,38.175433,2.357537,1.672128,53.823646,1.182552,0.273913
sh.600005,2011-08-23,2011-06-30,104.961581,1.714913,3.461177,52.005430,2.492903,0.593393
sh.600005,2011-10-25,2011-09-30,185.228714,1.457657,5.434199,49.685333,3.822408,0.898435
sh.600005,2012-04-24,2011-12-31,284.431969,1.265681,6.714338,53.616603,4.867686,1.172332
sh.600005,2012-04-24,2012-03-31,42.787702,2.103408,1.211750,74.272720,0.803794,0.224686
sh.600005,2012-08-27,2012-06-30,38.359342,4.692468,2.509751,71.720265,1.652888,0.457847
sh.600005,2012-10-29,2012-09-30,46.528882,5.802847,3.601283,74.973273,2.300902,0.669171
sh.600005,2013-04-27,2012-12-31,79.558406,4.524978,5.939737,60.608749,3.618645,0.940104
sh.600005,2013-04-27,2013-03-31,10.935574,8.230020,1.772946,50.762978,0.929558,0.239630
sh.600005,2013-08-27,2013-06-30,18.882255,9.532760,3.328545,54.077675,1.718656,0.453398
sh.600005,2013-10-29,2013-09-30,26.004884,10.382665,4.908774,55.003546,2.582313,0.683190
sh.600005,2014-04-29,2013-12-31,38.048482,9.461613,6.847312,52.575373,3.634076,0.926364
sh.600005,2014-04-29,2014-03-31,5.657928,15.906883,1.523060,59.091568,0.809646,0.207683
sh.600005,2014-08-30,2014-06-30,11.054606,16.282805,3.115947,57.767349,1.621782,0.425331
sh.600005,2014-10-31,2014-09-30,15.823943,17.062752,4.627155,58.351194,2.321977,0.628926
sh.600005,2015-04-27,2014-12-31,16.526340,21.783407,7.828768,45.984248,3.372045,1.041975
sh.600005,2015-04-27,2015-03-31,1.673401,53.782675,1.377630,65.329567,0.467506,0.179915
sh.600005,2015-08-29,2015-06-30,3.392460,53.058843,2.680166,67.160020,0.914225,0.355174
sh.600005,2015-10-31,2015-09-30,4.655142,58.000385,3.812141,70.826346,1.253093,0.498406
sh.600005,2016-04-26,2015-12-31,5.726567,62.864885,5.253278,68.528637,1.608067,0.612411
sh.600005,2016-04-26,2016-03-31,1.125736,79.947699,1.004812,89.569019,0.335128,0.134753
sh.600005,2016-08-30,2016-06-30,2.700064,66.665088,2.239081,80.390115,0.761651,0.300801
sh.600005,2016-10-31,2016-09-30,4.325248,62.424173,3.349607,80.606469,1.129354,0.448990
sh.600006,2010-04-24,2010-03-31,7.761234,11.596093,1.537313,58.543698,0.415314,0.288610
