code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2010-04-30,2010-03-31,0.058590,0.382771,,4104843212.930000,1.626508,,8830045640.00,7925886508.00
sh.600000,2010-08-30,2010-06-30,0.126266,0.399208,,9082585865.130000,1.351734,69280734000.000000,11479059332.00,10303652460.00
sh.600000,2010-10-29,2010-09-30,0.198420,0.413615,,14845366054.040000,1.547490,,11479059332.00,11479059332.00
sh.600000,2011-03-30,2010-12-31,0.200862,0.384681,,19178586640.940000,1.336501,154856806000.000000,14348824165.00,11479059332.00
sh.600000,2011-04-28,2011-03-31,0.048073,0.399709,,6073978805.690000,1.472590,,14348824165.00,11479059332.00
sh.600000,2011-08-16,2011-06-30,0.100533,0.405167,,12910687000.000000,1.231727,111436750000.000000,18653471415.00,14922777132.00
sh.600000,2011-10-29,2011-09-30,0.151658,0.405004,,19969691554.690000,1.300020,,18653471415.00,14922777132.00
sh.600000,2012-03-16,2011-12-31,0.200715,0.402769,,27355112000.000000,1.462783,256852092000.000000,18653471415.00,14922777132.00
sh.600000,2012-04-28,2012-03-31,0.051603,0.398418,,7932052000.000000,1.561166,,18653471415.00,14922777132.00
sh.600000,2012-08-15,2012-06-30,0.110594,0.431612,,17265760000.000000,1.694025,156578274000.000000,18653471415.00,14922777132.00
sh.600000,2012-10-31,2012-09-30,0.164011,0.431365,,26239878000.000000,1.796012,,18653471415.00,14922777132.00
sh.600000,2013-03-14,2012-12-31,0.209481,0.413625,,34311000000.000000,1.832688,319128000000.000000,18653471415.00,14922777132.00
sh.600000,2013-04-27,2013-03-31,0.048871,0.406660,,8951000000.000000,1.886780,,18653471415.00,14922777132.00
sh.600000,2013-08-14,2013-06-30,0.106458,0.419236,,19502000000.000000,1.950254,178774000000.000000,18653471415.00,14922777132.00
sh.600000,2013-10-31,2013-09-30,0.159785,0.414007,,30006000000.000000,2.030614,,18653471415.00,14922777132.00
sh.600000,2014-03-20,2013-12-31,0.214323,0.411938,,41200000000.000000,2.193801,384754000000.000000,18653471415.00,14922777132.00
sh.600000,2014-04-30,2014-03-31,0.050870,0.391566,,10808000000.000000,2.290673,,18653471415.00,14922777132.00
